*** Configuration ***

Trigger: G-switch,
Smart Recovery option enabled with altitude setting of 3019 ft
Timed recovery set at 25 sec (drogue) and 0 sec (main)
Data is sampled at 200 Hz
Inputs that were sampled: Acceleration, Pressure, the digital inputs
 -1,150      0,7        -7 000F
 -1,145      1,0        -7 000F
 -1,140      1,0        18 000F
 -1,135      1,1        -7 000F
 -1,130      1,1        18 000F
 -1,125      1,1        18 000F
 -1,120      0,9        18 000F
 -1,115      1,0        -7 000F
 -1,110      0,9        -7 000F
 -1,105      1,1        18 000F
 -1,100      0,7        -7 000F
 -1,095      1,0        18 000F
 -1,090      1,0        -7 000F
 -1,085      0,9        18 000F
 -1,080      1,1        -7 000F
 -1,075      0,9        -7 000F
 -1,070      1,0        18 000F
 -1,065      1,0        -7 000F
 -1,060      1,2        -7 000F
 -1,055      1,0        -7 000F
 -1,050      1,0        -7 000F
 -1,045      0,7        18 000F
 -1,040      1,0        -7 000F
 -1,035      1,1        -7 000F
 -1,030      1,1        18 000F
 -1,025      1,2        -7 000F
 -1,020      1,0        -7 000F
 -1,015      0,9        -7 000F
 -1,010      1,0        -7 000F
 -1,005      1,0        18 000F
 -1,000      1,1        -7 000F
 -0,995      1,1        -7 000F
 -0,990      1,0        -7 000F
 -0,985      0,9        -7 000F
 -0,980      1,0        -7 000F
 -0,975      0,9        -7 000F
 -0,970      1,1        -7 000F
 -0,965      1,2        18 000F
 -0,960      1,1        -7 000F
 -0,955      1,0        -7 000F
 -0,950      1,1        -7 000F
 -0,945      1,1        -7 000F
 -0,940      1,1        -7 000F
 -0,935      0,9        -7 000F
 -0,930      0,7        -7 000F
 -0,925      0,9        -7 000F
 -0,920      0,9        18 000F
 -0,915      1,2        -7 000F
 -0,910      1,2        18 000F
 -0,905      1,0        -7 000F
 -0,900      0,7        18 000F
 -0,895      0,9        18 000F
 -0,890      1,0        -7 000F
 -0,885      1,0        -7 000F
 -0,880      1,1        18 000F
 -0,875      1,1        -7 000F
 -0,870      0,9        18 000F
 -0,865      1,0        18 000F
 -0,860      0,9        -7 000F
 -0,855      1,0        -7 000F
 -0,850      1,0        18 000F
 -0,845      1,1        18 000F
 -0,840      1,1        -7 000F
 -0,835      0,9        -7 000F
 -0,830      1,0        18 000F
 -0,825      0,9        18 000F
 -0,820      0,9        -7 000F
 -0,815      1,2        18 000F
 -0,810      1,0        -7 000F
 -0,805      1,0        18 000F
 -0,800      0,9        -7 000F
 -0,795      1,0        -7 000F
 -0,790      0,7        -7 000F
 -0,785      1,1        -7 000F
 -0,780      1,0        -7 000F
 -0,775      0,9        18 000F
 -0,770      1,0        -7 000F
 -0,765      0,9        -7 000F
 -0,760      0,9        -7 000F
 -0,755      1,0        -7 000F
 -0,750      1,0        18 000F
 -0,745      1,2        -7 000F
 -0,740      1,1        -7 000F
 -0,735      1,0        -7 000F
 -0,730      0,9        -7 000F
 -0,725      0,7        -7 000F
 -0,720      0,9        -7 000F
 -0,715      1,0        -7 000F
 -0,710      1,0        -7 000F
 -0,705      1,0        -7 000F
 -0,700      1,0        18 000F
 -0,695      1,0        -7 000F
 -0,690      1,0        -7 000F
 -0,685      1,0        -7 000F
 -0,680      0,7        18 000F
 -0,675      0,9        18 000F
 -0,670      1,1        -7 000F
 -0,665      1,2        -7 000F
 -0,660      1,1        -7 000F
 -0,655      1,0        -7 000F
 -0,650      0,9        -7 000F
 -0,645      0,9        -7 000F
 -0,640      1,0        -7 000F
 -0,635      1,1        -7 000F
 -0,630      1,0        -7 000F
 -0,625      1,2        -7 000F
 -0,620      1,0        -7 000F
 -0,615      0,9        -7 000F
 -0,610      1,0        -7 000F
 -0,605      1,0        -7 000F
 -0,600      1,2        -7 000F
 -0,595      1,1        -7 000F
 -0,590      1,0        -7 000F
 -0,585      0,9        -7 000F
 -0,580      0,9        18 000F
 -0,575      0,9        -7 000F
 -0,570      1,0        18 000F
 -0,565      0,9        18 000F
 -0,560      1,1        -7 000F
 -0,555      1,0        18 000F
 -0,550      1,0        -7 000F
 -0,545      0,7        -7 000F
 -0,540      1,0        18 000F
 -0,535      1,0        -7 000F
 -0,530      1,1        -7 000F
 -0,525      1,0        -7 000F
 -0,520      1,0        -7 000F
 -0,515      0,9        -7 000F
 -0,510      1,0        18 000F
 -0,505      0,9        -7 000F
 -0,500      1,1        18 000F
 -0,495      0,9        18 000F
 -0,490      1,0        -7 000F
 -0,485      0,9        -7 000F
 -0,480      1,0        18 000F
 -0,475      1,0        18 000F
 -0,470      1,0        -7 000F
 -0,465      1,0        -7 000F
 -0,460      0,9        -7 000F
 -0,455      1,0        -7 000F
 -0,450      1,1        -7 000F
 -0,445      1,0        -7 000F
 -0,440      1,1        18 000F
 -0,435      1,0        -7 000F
 -0,430      1,1        -7 000F
 -0,425      1,2        -7 000F
 -0,420      1,1        -7 000F
 -0,415      1,1        18 000F
 -0,410      1,0        18 000F
 -0,405      1,0        18 000F
 -0,400      1,1        18 000F
 -0,395      0,9        -7 000F
 -0,390      0,9        -7 000F
 -0,385      0,9        -7 000F
 -0,380      0,9        -7 000F
 -0,375      1,0        -7 000F
 -0,370      1,0        18 000F
 -0,365      0,6        18 000F
 -0,360      0,9        18 000F
 -0,355      0,9        -7 000F
 -0,350      0,9        -7 000F
 -0,345      1,0        -7 000F
 -0,340      1,0        -7 000F
 -0,335      0,7        -7 000F
 -0,330      0,9        -7 000F
 -0,325      1,0        -7 000F
 -0,320      0,7        -7 000F
 -0,315      0,9        18 000F
 -0,310      1,0        -7 000F
 -0,305      0,7        -7 000F
 -0,300      0,9        18 000F
 -0,295      1,0        18 000F
 -0,290      1,1        -7 000F
 -0,285      1,1        -7 000F
 -0,280      1,1        -7 000F
 -0,275      1,0        -7 000F
 -0,270      0,7        -7 000F
 -0,265      1,0        18 000F
 -0,260      1,0        18 000F
 -0,255      1,1        -7 000F
 -0,250      1,1        -7 000F
 -0,245      1,1        -7 000F
 -0,240      1,0        -7 000F
 -0,235      0,9        -7 000F
 -0,230      1,1        -7 000F
 -0,225      0,9        -7 000F
 -0,220      1,1        -7 000F
 -0,215      1,0        -7 000F
 -0,210      0,9        -7 000F
 -0,205      0,6        -7 000F
 -0,200      1,0        -7 000F
 -0,195      1,0        -7 000F
 -0,190      1,2        18 000F
 -0,185      1,0        -7 000F
 -0,180      1,0        -7 000F
 -0,175      1,2        -7 000F
 -0,170      1,0        -7 000F
 -0,165      1,1        -7 000F
 -0,160      0,7        -7 000F
 -0,155      1,0        18 000F
 -0,150      1,1        -7 000F
 -0,145      1,1        -7 000F
 -0,140      0,9        -7 000F
 -0,135      1,0        -7 000F
 -0,130      0,9        -7 000F
 -0,125      0,7        -7 000F
 -0,120      1,2        -7 000F
 -0,115      1,0        -7 000F
 -0,110      1,1        -7 000F
 -0,105      1,2        -7 000F
 -0,100      0,9        -7 000F
 -0,095      1,0        -7 000F
 -0,090      2,5        -7 000F
 -0,085      2,4        -7 000F
 -0,080      2,1        -7 000F
 -0,075      1,8        18 000F
 -0,070      2,1        -7 000F
 -0,065      2,1        -7 000F
 -0,060      2,8        -7 000F
 -0,055      1,6        18 000F
 -0,050      2,9        -7 000F
 -0,045      3,0        18 000F
 -0,040      3,4        -7 000F
 -0,035      3,3        18 000F
 -0,030      3,4        18 000F
 -0,025      3,7        18 000F
 -0,020      4,1        18 000F
 -0,015      4,7        18 000F
 -0,010     13,7        -7 000F
 -0,005      0,9        -7 000F
  0,000      3,2        -7 001F
  0,005      5,1        -7 001F
  0,010      6,3        18 001F
  0,015      5,6        18 001F
  0,020      5,4        -7 001F
  0,025      5,5        -7 001F
  0,030      5,6        -7 001F
  0,035      5,6        -7 001F
  0,040      5,5        -7 001F
  0,045      5,4        18 001F
  0,050      5,2        18 001F
  0,055      5,2        -7 001F
  0,060      5,6        -7 001F
  0,065      5,6        -7 001F
  0,070      5,5        18 001F
  0,075      5,5        18 001F
  0,080      5,1        -7 001F
  0,085      5,2        18 001F
  0,090      5,0        18 001F
  0,095      5,9        18 001F
  0,100      5,0        -7 001F
  0,105      5,6        18 001F
  0,110      5,0        -7 001F
  0,115      6,3        -7 001F
  0,120      4,8        -7 001F
  0,125      5,2        18 001F
  0,130      5,4        -7 001F
  0,135      6,1        18 001F
  0,140      4,8        -7 001F
  0,145      6,0        -7 001F
  0,150      4,8        18 001F
  0,155      5,7        -7 001F
  0,160      5,2        18 001F
  0,165      5,5        18 001F
  0,170      5,2        18 001F
  0,175      5,7        18 001F
  0,180      5,2        18 001F
  0,185      5,4        18 001F
  0,190      5,4        18 001F
  0,195      5,9        18 001F
  0,200      6,0        18 001F
  0,205      5,5        18 001F
  0,210      5,4        18 001F
  0,215      5,5        18 001F
  0,220      5,5        18 001F
  0,225      6,5        18 001F
  0,230      5,1        -7 001F
  0,235      6,0        18 001F
  0,240      5,4        18 001F
  0,245      6,3        -7 001F
  0,250      5,7        18 001F
  0,255      5,5        -7 001F
  0,260      5,5        18 001F
  0,265      5,9        18 001F
  0,270      5,5        18 001F
  0,275      5,9        18 001F
  0,280      5,5        18 001F
  0,285      5,5        18 001F
  0,290      6,0        18 001F
  0,295      6,1        18 001F
  0,300      5,6        18 001F
  0,305      6,0        18 001F
  0,310      6,1        18 001F
  0,315      5,9        -7 001F
  0,320      6,1        18 001F
  0,325      5,9        18 001F
  0,330      6,0        18 001F
  0,335      6,0        18 001F
  0,340      5,9        18 001F
  0,345      5,7        18 001F
  0,350      6,3        -7 001F
  0,355      6,0        18 001F
  0,360      5,9        18 001F
  0,365      5,9        43 001F
  0,370      6,3        18 001F
  0,375      6,5        18 001F
  0,380      5,7        18 001F
  0,385      5,9        43 001F
  0,390      6,0        18 001F
  0,395      5,9        18 001F
  0,400      5,7        18 001F
  0,405      6,4        18 001F
  0,410      6,0        18 001F
  0,415      6,1        18 001F
  0,420      5,7        18 001F
  0,425      6,4        18 001F
  0,430      5,7        18 001F
  0,435      6,4        18 001F
  0,440      6,0        18 001F
  0,445      6,3        43 001F
  0,450      6,3        18 001F
  0,455      6,4        18 001F
  0,460      6,0        18 001F
  0,465      6,5        18 001F
  0,470      6,3        43 001F
  0,475      6,6        18 001F
  0,480      6,3        18 001F
  0,485      6,3        18 001F
  0,490      6,4        18 001F
  0,495      6,1        18 001F
  0,500      6,3        18 001F
  0,505      6,4        18 001F
  0,510      6,1        43 001F
  0,515      6,3        18 001F
  0,520      6,4        18 001F
  0,525      7,4        18 001F
  0,530      5,6        43 001F
  0,535      6,6        43 001F
  0,540      6,1        43 001F
  0,545      6,6        43 001F
  0,550      6,5        43 001F
  0,555      6,5        43 001F
  0,560      6,3        18 001F
  0,565      6,1        18 001F
  0,570      6,9        18 001F
  0,575      6,5        18 001F
  0,580      6,5        43 001F
  0,585      6,5        43 001F
  0,590      6,4        43 001F
  0,595      6,5        43 001F
  0,600      6,1        43 001F
  0,605      6,8        18 001F
  0,610      7,4        43 001F
  0,615      6,0        18 001F
  0,620      7,0        43 001F
  0,625      6,5        18 001F
  0,630      6,4        18 001F
  0,635      7,0        43 001F
  0,640      6,8        43 001F
  0,645      6,8        18 001F
  0,650      6,8        68 001F
  0,655      6,3        43 001F
  0,660      6,8        43 001F
  0,665      6,6        43 001F
  0,670      6,6        43 001F
  0,675      7,0        43 001F
  0,680      6,3        43 001F
  0,685      7,2        43 001F
  0,690      7,4        43 001F
  0,695      6,9        43 001F
  0,700      6,8        68 001F
  0,705      6,6        43 001F
  0,710      7,5        68 001F
  0,715      6,4        43 001F
  0,720      7,0        68 001F
  0,725      6,8        43 001F
  0,730      6,9        68 001F
  0,735      6,8        68 001F
  0,740      6,9        68 001F
  0,745      7,3        68 001F
  0,750      6,6        68 001F
  0,755      7,2        43 001F
  0,760      7,0        43 001F
  0,765      6,5        68 001F
  0,770      7,4        68 001F
  0,775      6,5        68 001F
  0,780      7,8        68 001F
  0,785      6,1        68 001F
  0,790      7,5        68 001F
  0,795      6,9        94 001F
  0,800      7,0        68 001F
  0,805      7,7        68 001F
  0,810      6,9        68 001F
  0,815      6,0        68 001F
  0,820      8,1        94 001F
  0,825      6,9        68 001F
  0,830      7,2        68 001F
  0,835      7,0        68 001F
  0,840      7,3        94 001F
  0,845      7,2        94 001F
  0,850      7,5        94 001F
  0,855      7,3        68 001F
  0,860      7,3        94 001F
  0,865      7,5        94 001F
  0,870      6,6        94 001F
  0,875      7,5        94 001F
  0,880      6,8        94 001F
  0,885      8,1        94 001F
  0,890      7,4        94 001F
  0,895      7,2        94 001F
  0,900      7,2        94 001F
  0,905      7,4        94 001F
  0,910      7,3        94 001F
  0,915      7,4        94 001F
  0,920      6,6        94 001F
  0,925      7,9        94 001F
  0,930      7,3        94 001F
  0,935      7,2        94 001F
  0,940      7,3        68 001F
  0,945      7,4        94 001F
  0,950      7,3        94 001F
  0,955      7,4        94 001F
  0,960      7,3        94 001F
  0,965      7,4       119 001F
  0,970      8,3        94 001F
  0,975      6,5       119 001F
  0,980      7,5        94 001F
  0,985      6,9       119 001F
  0,990      7,8       119 001F
  0,995      7,7        94 001F
  1,000      7,7        94 001F
  1,005      7,5       119 001F
  1,010      7,2       119 001F
  1,015      7,5       119 001F
  1,020      8,8       119 001F
  1,025      6,6       119 001F
  1,030      7,5       119 001F
  1,035      7,8        94 001F
  1,040      6,9       119 001F
  1,045      8,6       119 001F
  1,050      6,9       119 001F
  1,055      7,5       119 001F
  1,060      7,8       119 001F
  1,065      7,5       119 001F
  1,070      7,8       119 001F
  1,075      7,0       119 001F
  1,080      7,7       119 001F
  1,085      7,8       119 001F
  1,090      7,5       119 001F
  1,095      7,7       119 001F
  1,100      7,7       144 001F
  1,105      7,4       144 001F
  1,110      8,2       144 001F
  1,115      7,4       144 001F
  1,120      7,5       144 001F
  1,125      7,8       144 001F
  1,130      7,9       144 001F
  1,135      7,4       144 001F
  1,140      7,8       144 001F
  1,145      7,4       170 001F
  1,150      7,9       144 001F
  1,155      7,5       144 001F
  1,160      7,8       170 001F
  1,165      7,7       144 001F
  1,170      7,7       170 001F
  1,175      7,9       170 001F
  1,180      7,5       170 001F
  1,185      9,9       170 001F
  1,190      6,6       170 001F
  1,195      9,0       170 001F
  1,200      7,2       170 001F
  1,205      7,9       170 001F
  1,210      7,4       170 001F
  1,215      7,4       170 001F
  1,220      6,3       170 001F
  1,225      6,8       170 001F
  1,230      7,0       170 001F
  1,235      8,8       170 001F
  1,240      7,7       170 001F
  1,245      7,4       144 001F
  1,250      7,2       170 001F
  1,255      7,7       170 001F
  1,260      6,9       170 001F
  1,265      7,9       170 001F
  1,270      7,5       195 001F
  1,275      7,3       195 001F
  1,280      7,5       170 001F
  1,285      8,2       170 001F
  1,290      7,2       170 001F
  1,295      6,4       195 001F
  1,300      9,0       170 001F
  1,305      7,2       170 001F
  1,310      7,9       170 001F
  1,315      7,7       170 001F
  1,320      7,0       170 001F
  1,325      7,7       170 001F
  1,330      7,8       170 001F
  1,335      7,8       170 001F
  1,340      7,5       170 001F
  1,345      7,3       170 001F
  1,350      7,8       170 001F
  1,355      7,3       170 001F
  1,360      8,1       170 001F
  1,365      7,7       170 001F
  1,370      7,0       170 001F
  1,375      7,4       195 001F
  1,380      7,4       195 001F
  1,385      4,6       195 001F
  1,390      9,3       195 001F
  1,395      7,3       195 001F
  1,400      7,3       195 001F
  1,405      7,0       195 001F
  1,410      8,1       195 001F
  1,415      7,2       170 001F
  1,420      8,3       195 001F
  1,425      7,5       195 001F
  1,430      9,0       195 001F
  1,435      6,4       195 001F
  1,440      7,4       170 001F
  1,445      7,4       195 001F
  1,450      7,7       195 001F
  1,455      8,4       195 001F
  1,460      7,0       195 001F
  1,465      7,5       195 001F
  1,470      7,7       195 001F
  1,475      7,4       221 001F
  1,480      7,4       221 001F
  1,485      7,4       195 001F
  1,490      7,4       221 001F
  1,495      7,5       221 001F
  1,500      7,5       221 001F
  1,505      7,0       221 001F
  1,510      7,9       195 001F
  1,515      7,3       221 001F
  1,520      7,7       195 001F
  1,525      7,2       221 001F
  1,530      7,3       221 001F
  1,535      8,1       221 001F
  1,540      7,4       221 001F
  1,545      7,4       221 001F
  1,550      7,2       221 001F
  1,555      7,3       246 001F
  1,560      7,3       221 001F
  1,565      7,4       246 001F
  1,570      7,4       221 001F
  1,575      7,5       246 001F
  1,580      7,4       246 001F
  1,585      7,4       221 001F
  1,590      7,0       246 001F
  1,595      7,7       246 001F
  1,600      7,4       246 001F
  1,605      7,4       272 001F
  1,610      6,0       246 001F
  1,615      8,3       246 001F
  1,620      7,0       246 001F
  1,625      8,6       246 001F
  1,630      6,0       246 001F
  1,635      7,5       246 001F
  1,640      7,2       246 001F
  1,645      7,3       272 001F
  1,650      7,3       246 001F
  1,655      7,0       272 001F
  1,660      7,2       246 001F
  1,665      8,4       272 001F
  1,670      7,3       246 001F
  1,675      7,5       272 001F
  1,680      6,8       272 001F
  1,685      6,8       272 001F
  1,690      7,4       272 001F
  1,695      7,2       272 001F
  1,700      7,3       272 001F
  1,705      7,0       272 001F
  1,710      7,2       272 001F
  1,715      4,1       272 001F
  1,720     10,1       272 001F
  1,725      6,6       272 001F
  1,730      7,8       272 001F
  1,735      6,8       272 001F
  1,740      7,2       272 001F
  1,745      7,5       272 001F
  1,750      7,2       272 001F
  1,755      7,3       272 001F
  1,760      7,0       272 001F
  1,765      7,0       272 001F
  1,770      5,4       272 001F
  1,775      7,7       272 001F
  1,780      7,9       297 001F
  1,785      7,7       272 001F
  1,790      7,4       272 001F
  1,795      6,5       297 001F
  1,800      8,3       272 001F
  1,805      6,9       272 001F
  1,810      7,5       297 001F
  1,815      7,0       272 001F
  1,820      6,5       297 001F
  1,825      7,3       297 001F
  1,830      6,6       297 001F
  1,835      7,3       297 001F
  1,840      6,6       297 001F
  1,845      7,0       272 001F
  1,850      8,1       297 001F
  1,855      6,4       297 001F
  1,860      7,4       297 001F
  1,865      6,8       323 001F
  1,870      6,9       297 001F
  1,875      7,2       297 001F
  1,880      6,5       297 001F
  1,885      7,2       297 001F
  1,890      6,8       323 001F
  1,895      6,9       297 001F
  1,900      7,0       323 001F
  1,905      6,8       297 001F
  1,910      7,0       323 001F
  1,915      6,8       323 001F
  1,920      7,2       323 001F
  1,925      4,3       323 001F
  1,930      8,3       323 001F
  1,935      6,8       323 001F
  1,940      7,4       297 001F
  1,945      6,6       323 001F
  1,950      7,0       323 001F
  1,955      6,8       323 001F
  1,960      7,0       323 001F
  1,965      7,3       323 001F
  1,970      5,2       323 001F
  1,975     10,2       323 001F
  1,980      6,5       323 001F
  1,985      7,8       348 001F
  1,990      6,3       348 001F
  1,995      6,5       348 001F
  2,000      6,6       348 001F
  2,005      7,3       348 001F
  2,010      7,3       348 001F
  2,015      6,8       348 001F
  2,020      6,9       348 001F
  2,025      6,9       374 001F
  2,030      7,3       348 001F
  2,035      7,0       374 001F
  2,040      6,8       348 001F
  2,045      6,6       374 001F
  2,050      7,2       348 001F
  2,055      6,8       374 001F
  2,060      6,9       374 001F
  2,065      6,8       374 001F
  2,070      6,6       374 001F
  2,075      7,4       374 001F
  2,080      6,8       374 001F
  2,085      6,5       374 001F
  2,090      6,9       374 001F
  2,095      6,9       374 001F
  2,100      6,6       374 001F
  2,105      7,3       374 001F
  2,110      6,9       399 001F
  2,115      6,8       399 001F
  2,120      6,9       399 001F
  2,125      5,4       399 001F
  2,130      7,5       399 001F
  2,135      6,9       374 001F
  2,140      6,5       399 001F
  2,145      6,8       399 001F
  2,150      6,5       399 001F
  2,155      7,3       399 001F
  2,160      6,6       399 001F
  2,165      7,3       399 001F
  2,170      6,5       425 001F
  2,175      7,0       425 001F
  2,180      6,9       425 001F
  2,185      6,6       425 001F
  2,190      6,5       425 001F
  2,195      6,9       425 001F
  2,200      6,8       425 001F
  2,205      6,4       425 001F
  2,210      7,4       425 001F
  2,215      6,5       425 001F
  2,220      6,6       425 001F
  2,225      6,6       425 001F
  2,230      6,8       451 001F
  2,235      6,9       425 001F
  2,240      6,5       425 001F
  2,245      6,9       451 001F
  2,250      6,6       451 001F
  2,255      6,8       451 001F
  2,260      6,4       451 001F
  2,265      7,3       451 001F
  2,270      5,6       425 001F
  2,275      6,9       451 001F
  2,280      6,4       451 001F
  2,285      6,5       451 001F
  2,290      6,6       451 001F
  2,295      6,5       451 001F
  2,300      6,5       451 001F
  2,305      6,0       476 001F
  2,310      6,4       476 001F
  2,315      6,3       476 001F
  2,320      6,5       476 001F
  2,325      6,4       476 001F
  2,330      6,4       476 001F
  2,335      6,1       476 001F
  2,340      6,6       451 001F
  2,345      7,0       476 001F
  2,350      5,6       476 001F
  2,355      6,9       476 001F
  2,360      5,9       476 001F
  2,365      6,4       502 001F
  2,370      6,0       476 001F
  2,375      6,5       476 001F
  2,380      6,5       502 001F
  2,385      5,7       476 001F
  2,390      6,5       502 001F
  2,395      6,0       502 001F
  2,400      6,3       502 001F
  2,405      5,9       502 001F
  2,410      6,1       502 001F
  2,415      6,1       502 001F
  2,420      6,0       502 001F
  2,425      5,6       502 001F
  2,430      6,1       502 001F
  2,435      6,1       528 001F
  2,440      5,9       528 001F
  2,445      5,5       528 001F
  2,450      6,4       528 001F
  2,455      5,1       528 001F
  2,460      6,4       528 001F
  2,465      5,7       528 001F
  2,470      6,1       528 001F
  2,475      5,6       528 001F
  2,480      5,7       528 001F
  2,485      6,0       528 001F
  2,490      5,7       553 001F
  2,495      5,9       553 001F
  2,500      5,4       553 001F
  2,505      5,9       553 001F
  2,510      5,5       553 001F
  2,515      5,6       553 001F
  2,520      5,9       553 001F
  2,525      5,4       553 001F
  2,530      5,6       579 001F
  2,535      5,7       579 001F
  2,540      5,5       553 001F
  2,545      6,0       579 001F
  2,550      5,6       579 001F
  2,555      5,4       579 001F
  2,560      5,9       579 001F
  2,565      5,2       579 001F
  2,570      5,4       579 001F
  2,575      5,5       579 001F
  2,580      5,6       579 001F
  2,585      5,4       579 001F
  2,590      5,5       605 001F
  2,595      5,6       579 001F
  2,600      5,0       579 001F
  2,605      5,6       605 001F
  2,610      5,4       605 001F
  2,615      5,2       579 001F
  2,620      5,6       579 001F
  2,625      5,1       579 001F
